,X,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes,Budget,Sequel,Avg_rating_director,Avg_rating_lead
33,33,Blonde,167,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.5,Andrew Dominik,Ana de Armas,"63,501",22000000,0,6.5,5.5
34,34,Once Upon a Time in Hollywood,161,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Quentin Tarantino,Leonardo DiCaprio,"764,368",96000000,0,7.883333333,7.754545455
35,35,Creed II,130,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.1,Steven Caple Jr.,Michael B. Jordan,"137,925",50000000,1,7.1,7.35
36,36,Don't Worry Darling,123,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2,Olivia Wilde,Florence Pugh,"108,181",35000000,0,6.2,6.65
37,37,Interstellar,169,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.6,Christopher Nolan,Matthew McConaughey,"1,877,769",165000000,0,8.133333333,7.76
38,38,Smile,115,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.6,Parker Finn,Sosie Bacon,"113,029",17000000,0,6.6,6.6
39,39,Harry Potter and the Sorcerer's Stone,152,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.6,Chris Columbus,Daniel Radcliffe,"800,444",125000000,0,6.933333333,7.6875
40,40,Empire of Light,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.6,Sam Mendes,Olivia Colman,"13,804",30000000,0,7.24,6.933333333
41,41,Nope,130,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6.8,Jordan Peele,Daniel Kaluuya,"207,977",68000000,0,7.1,7.25
42,42,The Help,146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Tate Taylor,Viola Davis,"467,331",25000000,0,7.3,7.45
43,43,John Wick: Chapter 3 - Parabellum,130,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.4,Chad Stahelski,Keanu Reeves,"358,660",75000000,1,7.4,6.633333333
44,44,Parasite,132,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.5,Bong Joon Ho,Song Kang-ho,"834,018",11400000,0,7.9,7.933333333
45,45,The Gentlemen,113,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8,Guy Ritchie,Matthew McConaughey,"353,444",22000000,0,7.32,7.76
46,46,John Wick: Chapter 2,122,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.4,Chad Stahelski,Keanu Reeves,"447,596",40000000,1,7.4,6.633333333
47,47,Black Adam,125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,Jaume Collet-Serra,Dwayne Johnson,"233,716",210000000,1,6.633333333,6.455555556
48,48,Dune,155,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Denis Villeneuve,Timothée Chalamet,"657,431",165000000,0,7.983333333,7.566666667
49,49,The Pale Blue Eye,128,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6.6,Scott Cooper,Christian Bale,"96,793",72000000,0,6.6,7.5625
50,50,The Woman King,135,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Gina Prince-Bythewood,Viola Davis,"56,064",50000000,0,6.7,7.45
51,51,The Wolf of Wall Street,180,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.2,Martin Scorsese,Leonardo DiCaprio,"1,442,451",100000000,0,7.95,7.754545455
52,52,Love,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1,Gaspar Noé,Aomi Muyock,"61,436",3000000,0,6.1,6.1
53,53,The Lord of the Rings: The Fellowship of the Ring,178,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,Peter Jackson,Elijah Wood,"1,899,281",93000000,0,8.114285714,8.866666667
54,54,The Hunger Games: Catching Fire,146,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,Francis Lawrence,Jennifer Lawrence,"676,359",78000000,1,6.871428571,6.857142857
55,55,Promising Young Woman,113,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.5,Emerald Fennell,Carey Mulligan,"182,492",10000000,0,7.5,7.5
56,56,Blade Runner 2049,164,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,Denis Villeneuve,Harrison Ford,"592,070",150000000,1,7.983333333,7.1
57,57,Knives Out,130,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9,Rian Johnson,Daniel Craig,"715,807",40000000,0,7.333333333,7.542857143
58,58,Mrs. Harris Goes to Paris,115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Anthony Fabian,Lesley Manville,"16,479",13000000,0,7.1,7.1
59,59,Barbarian,102,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7,Zach Cregger,Georgina Campbell,"138,999",4500000,0,7,7
60,60,Swiss Army Man,97,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9,Daniel Kwan,Paul Dano,"126,524",3000000,0,7.4,6.9
61,61,Avengers: Endgame,181,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,Anthony Russo,Robert Downey Jr.,"1,159,914",356000000,1,7.78,7.7
62,62,Amsterdam,134,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,David O. Russell,Christian Bale,"70,794",80000000,0,7,7.5625
63,63,Midsommar,148,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.1,Ari Aster,Florence Pugh,"340,326",9000000,0,7.2,6.65
64,64,Avatar,162,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.9,James Cameron,Sam Worthington,"1,330,476",237000000,0,7.85,7.85
65,65,Spider-Man: No Way Home,148,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.2,Jon Watts,Tom Holland,"779,880",200000000,1,7.666666667,7.325
66,66,Watcher,96,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.3,Chloe Okuno,Maika Monroe,"29,602",5000000,0,6.3,6.55
67,67,The Departed,151,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.5,Martin Scorsese,Leonardo DiCaprio,"1,343,139",90000000,1,7.95,7.754545455
68,68,Black Swan,108,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,Darren Aronofsky,Natalie Portman,"781,190",13000000,0,7.466666667,7.333333333
69,69,The Northman,137,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Robert Eggers,Alexander Skarsgård,"221,789",60000000,0,7.133333333,6.7
70,70,Joker,122,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.4,Todd Phillips,Joaquin Phoenix,"1,327,092",55000000,0,8.05,8.066666667
71,71,CODA,111,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Sian Heder,Emilia Jones,"141,870",10000000,1,8,8
72,72,Jurassic World: Dominion,147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.6,Colin Trevorrow,Chris Pratt,"177,223",165000000,1,6.25,6.914285714
73,73,The Hangover,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Todd Phillips,Zach Galifianakis,"799,452",35000000,0,8.05,7.7
74,74,Thor: Love and Thunder,118,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Taika Waititi,Chris Hemsworth,"352,468",250000000,1,7.366666667,6.683333333
75,75,The Lord of the Rings: The Return of the King,201,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Peter Jackson,Elijah Wood,"1,869,944",94000000,1,8.114285714,8.866666667
76,76,Crazy Rich Asians,120,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9,Jon M. Chu,Constance Wu,"177,943",30000000,0,6.9,6.6
77,77,The Magnificent Seven,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.8,Antoine Fuqua,Denzel Washington,"216,403",2000000,1,6.933333333,7.18
78,78,Bodies Bodies Bodies,94,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.2,Halina Reijn,Amandla Stenberg,"43,651",90000000,0,6.2,6.2
79,79,Inglourious Basterds,153,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,Quentin Tarantino,Brad Pitt,"1,474,562",70000000,0,7.883333333,7.318181818
80,80,Black Panther,134,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,Ryan Coogler,Chadwick Boseman,"793,789",200000000,0,7.2,7.3
81,81,Whiplash,106,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,Damien Chazelle,Miles Teller,"887,811",3300000,0,7.9,8.5
82,82,Green Book,130,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.2,Peter Farrelly,Viggo Mortensen,"508,823",23000000,0,7.5,7.275
83,83,The Gray Man,122,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.5,Anthony Russo,Ryan Gosling,"210,883",200000000,0,7.78,7.4
84,84,Old,108,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.8,M. Night Shyamalan,Gael García Bernal,"129,496",18000000,0,6.55,5.8
85,85,Get Out,104,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7.7,Jordan Peele,Daniel Kaluuya,"630,186",4500000,0,7.1,7.25
86,86,In Bruges,107,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9,Martin McDonagh,Colin Farrell,"440,576",15000000,0,7.7,7.45
87,87,Easy A,92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,Will Gluck,Emma Stone,"398,250",8000000,0,7,6.2
88,88,Kingsman: The Golden Circle,141,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Matthew Vaughn,Taron Egerton,"338,152",104000000,1,7.18,6.7
89,89,Fifty Shades of Grey,125,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.2,Sam Taylor-Johnson,Dakota Johnson,"324,340",40000000,0,4.2,4.433333333
90,90,The Bubble,126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,Judd Apatow,Harry Trevaldwyn,"25,830",100000000,0,6,4.7
91,91,Nobody,92,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.4,Ilya Naishuller,Bob Odenkirk,"267,759",16000000,0,7.4,7.4
92,92,World War Z,116,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,Marc Forster,Brad Pitt,"680,975",190000000,0,7.2,7.318181818
93,93,No Country for Old Men,122,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.2,Ethan Coen,Tommy Lee Jones,"990,650",25000000,0,7.9,8.2
94,94,The Hunger Games: Mockingjay - Part 2,137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,Francis Lawrence,Jennifer Lawrence,"337,156",160000000,1,6.871428571,6.857142857
95,95,Django Unchained,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.4,Quentin Tarantino,Jamie Foxx,"1,581,001",100000000,0,7.883333333,7.5
96,96,The Big Short,130,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.8,Adam McKay,Christian Bale,"441,688",50000000,0,7.3,7.5625
97,97,Prisoners,153,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.1,Denis Villeneuve,Hugh Jackman,"734,390",46000000,0,7.983333333,7.8
98,98,The Suicide Squad,132,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,James Gunn,Margot Robbie,"363,697",185000000,0,7.6,6.9
99,99,The Mummy: Tomb of the Dragon Emperor,112,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.2,Rob Cohen,Brendan Fraser,"164,682",145000000,1,6,6.466666667
100,100,Little Women,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,Greta Gerwig,Saoirse Ronan,"214,675",40000000,1,7.6,7.6
101,101,The Hunger Games: Mockingjay - Part 1,123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.6,Francis Lawrence,Jennifer Lawrence,"465,719",125000000,1,6.871428571,6.857142857
102,102,"Three Billboards Outside Ebbing, Missouri",115,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.1,Martin McDonagh,Frances McDormand,"519,848",15000000,0,7.7,7.7
103,103,Pirates of the Caribbean: The Curse of the Black Pearl,143,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.1,Gore Verbinski,Johnny Depp,"1,142,980",140000000,0,7.7,7.04
104,104,No Time to Die,163,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,Cary Joji Fukunaga,Daniel Craig,"412,645",250000000,0,7.3,7.542857143
105,105,Don't Look Up,138,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,Adam McKay,Leonardo DiCaprio,"550,072",75000000,0,7.3,7.754545455
106,106,The Black Phone,103,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.9,Scott Derrickson,Mason Thames,"157,835",18000000,0,7.066666667,6.9
107,107,La La Land,128,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Damien Chazelle,Ryan Gosling,"606,331",30000000,0,7.9,7.4
108,108,Mad Max: Fury Road,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.1,George Miller,Tom Hardy,"1,019,328",160000000,1,7.4,7.14
109,109,The Shape of Water,123,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.3,Guillermo del Toro,Sally Hawkins,"428,680",20000000,0,7.525,7.3
110,110,The Prestige,130,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8.5,Christopher Nolan,Christian Bale,"1,351,272",40000000,0,8.133333333,7.5625
111,111,Hereditary,127,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.3,Ari Aster,Toni Collette,"332,996",10000000,0,7.2,7.3
112,112,Devotion,139,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,J.D. Dillard,Jonathan Majors,"18,484",90000000,0,6.6,6.6
113,113,Shang-Chi and the Legend of the Ten Rings,132,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.4,Destin Daniel Cretton,Simu Liu,"394,314",150000000,0,7.4,7.4
114,114,Crash,112,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.7,Paul Haggis,Don Cheadle,"440,666",6500000,0,7.7,7.7
115,115,Magic Mike,110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Steven Soderbergh,Channing Tatum,"142,997",7000000,0,6.9,6.3
116,116,Zack Snyder's Justice League,242,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,Zack Snyder,Henry Cavill,"407,138",70000000,1,6.866666667,7.433333333
117,117,Rocky Balboa,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.1,Sylvester Stallone,Sylvester Stallone,"222,105",24000000,1,7.1,6.4
118,118,Tenet,150,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7.3,Christopher Nolan,John David Washington,"521,612",250000000,0,8.133333333,7.4
119,119,The Fallout,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Megan Park,Jenna Ortega,"25,801",12000000,0,7,7
120,120,Uncharted,116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Ruben Fleischer,Tom Holland,"221,646",120000000,0,6.833333333,7.325
121,121,Thirteen,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Catherine Hardwicke,Evan Rachel Wood,"91,476",2000000,0,6.05,6.8
122,122,Harry Potter and the Goblet of Fire,157,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.7,Mike Newell,Daniel Radcliffe,"640,641",150000000,1,7.7,7.6875
123,123,Mean Girls,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Mark Waters,Lindsay Lohan,"394,349",17000000,0,7.1,7.1
124,124,Encanto,102,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2,Jared Bush,Stephanie Beatriz,"231,567",50000000,0,7.2,7.2
125,125,Free Guy,115,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Shawn Levy,Ryan Reynolds,"382,043",120000000,0,6.733333333,7.12
126,126,Shotgun Wedding,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.4,Jason Moore,Jennifer Lopez,"27,490",68000000,0,6.25,5.4
127,127,Wonder Woman 1984,151,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.4,Patty Jenkins,Gal Gadot,"275,014",200000000,1,6.4,6.4
128,128,Pinocchio,105,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Robert Zemeckis,Joseph Gordon-Levitt,"37,547",150000000,1,6.15,5
129,129,Pride & Prejudice,129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,Joe Wright,Keira Knightley,"304,320",28000000,0,7.8,7.8
130,130,It,135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,Andy Muschietti,Bill Skarsgård,"561,568",40000000,1,6.9,7.3
131,131,She Said,129,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,Maria Schrader,Lola Petticrew,"23,872",32000000,0,7.2,7.2
132,132,The Lion King,118,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Jon Favreau,Donald Glover,"250,726",260000000,1,7.2,6.8
133,133,White Noise,136,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.7,Noah Baumbach,Adam Driver,"36,115",80000000,0,6.8,6.8
134,134,Catch Me If You Can,141,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.1,Steven Spielberg,Leonardo DiCaprio,"1,006,457",52000000,0,7.222222222,7.754545455
135,135,Doctor Strange in the Multiverse of Madness,126,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9,Sam Raimi,Benedict Cumberbatch,"430,614",200000000,1,6.866666667,7.3
136,136,Jojo Rabbit,108,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Taika Waititi,Roman Griffin Davis,"403,396",14000000,0,7.366666667,7.9
137,137,Ford v Ferrari,152,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.1,James Mangold,Matt Damon,"408,723",97600000,0,7.575,7.22
138,138,Arrival,116,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7.9,Denis Villeneuve,Amy Adams,"710,164",47000000,0,7.983333333,6.9
139,139,Suicide Squad,123,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,David Ayer,Will Smith,"694,587",185000000,0,6.7,6.816666667
140,140,Sicario,121,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6,Denis Villeneuve,Emily Blunt,"440,927",30000000,0,7.983333333,7.2
141,141,Puss in Boots,90,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Chris Miller,Antonio Banderas,"177,063",130000000,0,6.6,7.25
142,142,Guardians of the Galaxy,121,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,James Gunn,Chris Pratt,"1,195,886",170000000,0,7.6,6.914285714
